File,Accuracy,Precision,Recall,F1 Score
a.csv,0.9906883330290305,0.9908411145533714,0.9906883330290305,0.9906919340367182
b.csv,0.9905666118921551,0.9908103308462114,0.9905666118921551,0.9905900134794506
c.csv,0.9898971456393403,0.9900523799139546,0.9898971456393403,0.989884058369846
d.csv,0.990384030186842,0.9905899442329998,0.990384030186842,0.9903864179935614
e.csv,0.9887407948390238,0.9890125221104301,0.9887407948390238,0.9887337308665808
f.csv,0.9906274724605928,0.9907838434435216,0.9906274724605928,0.9906069119735725
g.csv,0.9905666118921551,0.9907363563375964,0.9905666118921551,0.9905707529143354
h.csv,0.989531982228714,0.9897511083852414,0.989531982228714,0.9895415012384589
i.csv,0.9897145639340271,0.9899290511531551,0.9897145639340271,0.9897191680949265
j.csv,0.9880713285862089,0.9883927954093951,0.9880713285862089,0.9880818298678649
k.csv,0.9892276793865254,0.9894781833305647,0.9892276793865254,0.9892362893045151
l.csv,0.9891668188180878,0.9894427750025336,0.9891668188180878,0.9891701242110851
m.csv,0.9897754245024648,0.989963958614718,0.9897754245024648,0.9897845112903498
n.csv,0.9900797273446534,0.9902407882028247,0.9900797273446534,0.990059045681292
o.csv,0.9896537033655894,0.9898315040744577,0.9896537033655894,0.9896666668866447
p.csv,0.9897754245024648,0.9900153592736645,0.9897754245024648,0.9897651547130407
q.csv,0.989958006207778,0.99016095432993,0.989958006207778,0.9899452524206813
r.csv,0.9900188667762156,0.9901801247972317,0.9900188667762156,0.9900210077761182
s.csv,0.9891059582496501,0.9893069322303258,0.9891059582496501,0.9890936787702655
t.csv,0.9896537033655894,0.9898436643504165,0.9896537033655894,0.989633512629046
u.csv,0.9895928427971518,0.9898094040305954,0.9895928427971518,0.9896046014881039
v.csv,0.990992635871219,0.9911541712993729,0.990992635871219,0.9909917390794726
w.csv,0.9895928427971518,0.9898854133284389,0.9895928427971518,0.9896043551454331
x.csv,0.9900188667762156,0.9902249037568707,0.9900188667762156,0.9900044153146177
y.csv,0.9883147708599598,0.9886563970344641,0.9883147708599598,0.9883458071706686
z.csv,0.9906274724605928,0.9907734406450998,0.9906274724605928,0.9906128239656222
relax.csv,0.990384030186842,0.9905824117178377,0.990384030186842,0.9903806752897089
hello.csv,0.9886799342705861,0.9889786563786633,0.9886799342705861,0.9886796774060268
me.csv,0.9886799342705861,0.9889324373270783,0.9886799342705861,0.9886714209083582
help.csv,0.9892276793865254,0.9894342204229326,0.9892276793865254,0.9892332675191401
thanks.csv,0.9909317753027813,0.9910669726288563,0.9909317753027813,0.9909308416108277
please.csv,0.9885582131337106,0.9888334720326108,0.9885582131337106,0.9885753993626522
