finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,56,8,22,72,-1.64,85.36,70.5,-66.06,37.28,19.46,0.27,9.49,0.77,-0.02,0.02,0.03,9.53,2.56,3.37,-0.1,0.02,-0.04
91,56,60,33,58,-2.78,84.13,64.61,-67.17,38.79,18.16,0.47,9.61,0.99,-0.08,-0.08,0.01,9.55,2.52,3.13,-0.13,-0.03,0.01
91,56,56,45,58,-5.01,86.61,34.04,-65.75,40.38,18.94,0.8,9.16,0.54,-0.09,-0.02,0.02,9.23,2.69,3.17,-0.1,-0.01,0.01
91,56,44,47,55,-2.98,86.7,47.8,-65.11,39.41,19.72,0.49,9.35,0.54,0,0.03,0.05,9.3,2.74,3.33,-0.08,0,-0.06
91,56,32,24,64,-1.81,85.68,67.23,-65.71,37.62,19.67,0.31,9.68,0.73,-0.05,0.03,0.02,9.58,2.64,3.43,-0.11,-0.03,-0.02
91,56,48,29,45,-2.67,86.41,53.39,-65.48,39.1,19.49,0.44,9.34,0.59,-0.04,-0.01,-0.01,9.27,2.67,3.28,-0.12,-0.02,-0.01
91,56,32,15,30,-2.77,85.29,59.5,-66.16,37.9,19.23,0.46,9.47,0.78,-0.04,-0.01,0,9.43,2.56,3.29,-0.11,-0.01,-0.01
91,56,42,13,42,-2.31,84.72,66.31,-66,37.6,19.43,0.4,9.74,0.9,-0.09,-0.03,0.02,9.65,2.62,3.4,-0.11,-0.04,0.03
91,56,38,15,39,-2.05,84.3,70.21,-66.32,37.54,19.18,0.36,9.93,0.99,-0.19,-0.04,0.01,9.75,2.6,3.39,-0.16,-0.09,0.12
91,56,58,24,15,-4.16,86.81,37.39,-65.89,40.76,18.73,0.67,9.21,0.51,-0.21,-0.04,-0.01,9.25,2.7,3.14,-0.17,-0.06,0.12
91,56,24,20,30,-4.43,86.47,38.52,-66.41,39.8,18.55,0.7,9.07,0.56,-0.11,0.01,0.02,9.23,2.58,3.1,-0.1,-0.02,0.04
91,56,18,36,48,-3.14,85.04,57.63,-66.47,38.39,18.84,0.51,9.26,0.8,-0.06,0.03,0.04,9.25,2.5,3.16,-0.06,0,0
91,56,20,27,42,-3.1,85.54,55.18,-66.54,38.16,18.84,0.5,9.18,0.72,-0.04,0.05,0.04,9.27,2.49,3.16,-0.06,0.01,-0.03
91,56,8,54,49,-3.38,84.91,56.35,-66.89,38.41,18.49,0.55,9.25,0.82,0.01,0.04,0.04,9.36,2.48,3.13,-0.05,0.01,-0.07
91,56,-12,54,43,-3.3,85.05,56.27,-66.58,38.29,18.78,0.54,9.4,0.81,0.01,0.06,0.06,9.4,2.52,3.2,-0.04,-0.02,-0.07
91,56,6,45,37,-1.92,85.44,67.17,-65.76,37.06,19.76,0.32,9.49,0.76,0,0.05,0.05,9.52,2.58,3.42,-0.04,0.02,-0.05
91,56,28,36,33,-1.74,84.68,71.89,-66.29,37.12,19.3,0.29,9.67,0.9,-0.04,0.03,0.03,9.59,2.54,3.36,-0.06,0.02,-0.02
91,56,0,54,27,-2.56,86.06,56.95,-65.21,37.99,20,0.42,9.46,0.65,-0.04,0.03,0.03,9.37,2.66,3.41,-0.07,0.01,0
